Day,G1_avg,G1_sd,G2_avg,G2_sd,G3_avg,G3_sd,G4_avg,G4_sd,G5_avg,G5_sd,G6_avg,G6_sd
7,53.97368929,19.46475615,27.93959702,19.03248642,44.87211879,20.29040508,38.95531848,21.3590799,30.98874216,17.75223012,42.3663878,13.06945478
14,56.73053311,34.3169229,47.07914798,26.70964107,59.1757166,41.13378631,39.69743916,29.99325281,34.64065349,25.39832283,52.48846728,23.9787831
23,90.67721067,51.38400211,61.14015132,31.82101452,112.5243763,51.20481173,75.40425333,68.34890373,61.90568003,33.89275162,118.7479965,71.61825485
29,182.971051,96.26890829,127.3430469,61.51941364,211.2473815,127.3057944,217.3517291,153.7881124,134.9942933,65.10770972,182.961115,103.5203919
34,284.8883638,147.8918203,225.8438883,92.22940398,346.1681849,147.7883586,388.344451,247.4519692,257.324806,123.4829825,267.2288682,140.1926989
35,281.6156284,136.2210968,230.0103681,102.385178,374.3909327,152.5717213,380.3514348,254.5049801,237.999382,109.6699711,260.9764346,153.3217629
36,320.3212421,162.0061384,259.0092457,144.4088832,340.4007819,131.1804049,376.6641943,268.9697485,227.2853174,135.0832316,230.8314939,137.4298052
37,309.9947924,195.8204453,259.7571738,131.9445586,344.5339777,137.9537744,394.5661013,289.0551177,207.2351409,129.6344909,207.0743071,110.1710633
40,341.9485749,169.9728931,308.0637435,160.0396965,283.85851,136.5537835,372.3474514,289.5775743,163.5528483,84.69327113,118.1862188,62.82524236
42,385.3595763,249.945802,369.3838658,175.774723,291.7907467,167.4145069,416.1811291,314.5740997,148.9097476,78.78322066,110.8481707,59.44594573
44,400.4833165,219.192345,395.2250408,182.3033693,266.250214,168.3853934,375.6580033,293.1223219,141.7399063,79.89866348,98.76130226,41.35047223
47,412.237356,230.0445882,497.7864002,236.4042966,264.2570192,180.5122687,436.7789298,352.3646396,137.8400902,71.88917453,81.13560851,40.77526546
49,484.6309857,332.8721637,574.8754367,257.733557,284.3162469,204.5187857,531.7821291,443.2301851,122.1327156,88.97988606,71.51416421,41.88331147
51,560.5611905,324.8192672,599.9902351,311.1445081,272.9344062,207.120342,549.6792717,451.4826322,91.33572717,78.96473053,70.42556201,63.38649897
54,611.2126666,415.3099328,655.0463734,314.6391155,283.0840957,210.1319715,595.7384249,504.7222116,59.32545205,78.7076282,18.52675862,37.05351725
56,717.8806338,520.4259378,846.1824919,387.3681162,278.4735043,203.7402881,789.0792068,660.0588268,69.92931767,90.5900636,14.68650346,29.37300691
61,970.8255749,743.8367473,1165.647773,462.572251,310.6542385,276.0582257,1009.103763,846.7154354,47.73438132,58.84426098,17.41391667,34.82783333
63,974.6409055,710.1418395,1043.764887,782.413836,330.0148237,286.7491774,1150.330662,967.5584709,70.0763108,65.55749284,16.74593149,33.49186298
68,1312.084767,963.3812277,1238.730344,860.6335577,327.8481647,370.661488,1542.962618,1300.029477,71.779505,61.6553393,15.5236576,31.0473152
